x,y
2.009448227952773891e+00,2.065007477140729186e+00
1.299484219705431709e+00,3.268655456506008861e+00
4.673197803065113121e+00,2.328513999329080875e+00
-2.010178417611125035e+00,2.260043953161751773e+00
5.452282391131404893e+00,3.032295597722262759e+00
5.528391606047449613e+00,2.256723679945594530e+00
3.107384475286312675e+00,8.220495453084462056e-01
1.011940038336851089e+01,2.764367305514008333e+00
7.447902160657646320e+00,3.107839834504182885e+00
7.235248878928743466e+00,1.736242509431656700e+00
-1.501088513902589128e+00,1.551183097016189727e+00
3.693373539231531222e+00,1.276900560362244086e+00
5.766338517711751877e+00,2.736015985015675778e+00
7.943712114271628266e+00,3.218640679973001184e+00
6.009827765202805594e+00,2.453378733372873821e+00
5.805098318211515007e+00,4.097066542412981072e+00
3.951935310932708223e+00,1.595566302391551172e+00
9.314056277054261201e-01,1.085057841249132071e+00
3.232108532791225119e+00,8.017561648280069342e-01
8.604654210488444477e+00,3.163274829403003086e+00
1.101305891273939519e+00,2.190851529295028577e+00
4.249317697118446091e+00,2.222549056392054467e+00
9.239851147586872315e+00,2.530004482573720903e+00
5.370125731526830037e+00,3.422595438748233576e+00
2.723563962188134013e+00,8.903262315311071262e-01
2.660435210315879040e+00,1.955435519670431610e+00
6.198981677692559700e+00,3.180917279634614570e+00
-3.507712227678094763e-02,2.638387522844033661e+00
6.878021373668086191e+00,2.549955085988404146e+00
2.501971529994978738e+00,2.994945194727532289e+00
5.558366617763524253e+00,2.478642122265829695e+00
7.934463530970992551e+00,1.993301369343855045e+00
7.170440425265778295e-01,3.064820839856633228e+00
3.963888390303607068e+00,3.202335679586985950e+00
2.549352342187072296e+00,1.738821721011493349e+00
2.337804874225282159e+00,3.412159913182711612e+00
3.777876285901391462e+00,3.615701815793525675e+00
1.323462184839187827e+01,4.237830040965747003e+00
3.512949079609906988e+00,2.130697698233132709e+00
3.660126147789370510e+00,8.343671626310633638e-01
4.563074367090254491e+00,2.774985822564586702e+00
-1.517102257710398305e+00,1.321362202465284685e+00
6.785170419643653972e+00,2.388217808178568990e+00
4.433844121107588521e-01,2.229892982007510405e+00
5.674083249394180406e+00,3.037641355579068669e+00
3.353177301773775376e+00,3.097634345346518714e+00
6.381652154545678357e+00,2.472571418489596606e+00
5.366488392943791652e+00,1.459116210319264528e+00
2.699126864415390070e+00,2.463545413207652857e+00
3.804253830684652726e+00,2.217848673109710234e+00
8.981381574642778531e+00,2.730200676381092428e+00
5.122758480725167374e+00,1.943131588300548884e+00
4.346455853880557108e+00,2.784040045259469132e+00
-3.067382149611993292e+00,1.664125055670270692e+00
2.871852152935522540e+00,2.224192311202231931e+00
1.077132142291557670e+01,3.264379287394678641e+00
3.341578337779734120e+00,4.260121587559162037e+00
4.469290930381421667e+00,2.719806773831305868e+00
4.039781011210051176e+00,1.520299773748083449e+00
-4.237551655466091916e-01,2.449372202127178433e+00
1.015552229239503834e+00,1.338295792116988459e+00
-1.158377012125598959e+00,6.787897606854778054e-01
1.455476177287260420e+00,3.808235734889389157e+00
7.452607045825840437e+00,2.422687771688143865e+00
3.487066542080122122e+00,1.968176369701164496e+00
9.425148158758036132e+00,3.167522811296757723e+00
7.612076305875019600e+00,3.252776676867866090e+00
6.988427723624948129e+00,4.011834578730116618e+00
6.676016372276105670e+00,2.514303384772624828e+00
9.651681160156164729e-01,1.081540201261405931e+00
2.846708716034872744e+00,3.296951520006781156e+00
9.620217041377955525e+00,3.282680804623971049e+00
2.780066379961549927e+00,2.879383389502191193e+00
8.420933358574384187e+00,1.958296810803189736e+00
1.875475728726616831e+00,2.386961756982718619e+00
2.856531365454592741e+00,2.550030495502501715e+00
6.247168117530200071e+00,2.891548606132419597e+00
2.805102975685201727e+00,1.717373826174612983e+00
-3.022367943179206762e+00,1.902893103837450806e+00
8.062785608297264872e+00,3.452481606198370301e+00
7.263341073489299582e+00,3.452644707848727457e+00
-3.280247742553488166e-01,1.236806765924678642e+00
2.609726051910863376e-01,2.272175915771831534e+00
6.298208115852190758e-01,3.474718514266510461e+00
4.764557896475386300e+00,1.935459833157129772e+00
7.109985434498972801e+00,2.184876094452374407e+00
4.046829934477786495e+00,2.697017458738022011e+00
2.714608212791913111e+00,2.906398977962004970e+00
3.611350169737240101e+00,3.508031158840867469e+00
4.496529268972960125e+00,4.606834873826386456e+00
1.611054206331015592e+00,1.454571855149981552e+00
7.642405696171202578e+00,3.263542612343386828e+00
4.542117323247635063e+00,3.050261829379742107e+00
2.088345249482744137e+00,2.125983321657225922e+00
7.022845196225619979e+00,1.629418631639416137e+00
5.338360101155695148e+00,3.262243660747017771e+00
3.143647905983300905e+00,1.346520072069603557e+00
3.133536827424967086e+00,2.615467537680336019e+00
6.995104342689819177e+00,2.925344730312509522e+00
3.699803841639213609e+00,1.497159400802849483e+00
1,2
2,1
2,3
4,3
10,3
